	spatial	climate	plantcover	plantrichness	N	P	pH	Sand	Invertebrate	Protists	Fungal	Bacteria	WSC	MAOM	Infiltration	WHC	AvaiableP	AvailableNitrate	AvailableAmmonium	AMF	Water	Glucose	Lignin	BG	NAG	XYL	PHOS	NDVI	Plantpathogen	args	module1	module2	module3	EMF	total1	total2	total3	total4	total5	total6	total7	total8
6	41.73944444	-0.84	59.9	43	0.471163333	0.041559822	5.36	24.78	0.126979905	0.304078463	0.398039216	0.379812695	0.166203093	0.563864138	0	0.620584417	0.106848981	0.150468844	0.116547478	0.164496172	0.124964854	0	0.067135483	0.015017491	0.013591183	0.08223518	0.080273743	0.42159051	1	0.715257081	0.184804254	0.092689098	0.461653677	0.394504597	0.365033615	0.310292209	0.124621768	0.164496172	0.054745419	0.42159051	1	0.715257081
7	42.17527778	-0.8069	18.02	24	0.198103333	0.07755589	6.33	39.56	0.183421986	0.370383752	0.317156863	0.716961498	0.081999951	0.107907833	0.312161776	0.943333426	0.221802376	0.032459284	0.034624685	0.164735225	0.377745897	0.132575571	0.189085012	0.064691978	0.013564623	0.133923077	0.292192344	0.541842067	0.96797438	0.680905848	0.258967625	0.217188816	0.298126712	0.418302852	0.094953892	0.627747601	0.096295448	0.164735225	0.171968358	0.541842067	0.96797438	0.680905848
8	42.91083333	-0.5627	49.51	42	0.161253333	0.023950705	6.77	36.76	0.177296905	0.44801164	0.291666667	0.758237947	0.096238498	0.135880125	0.820719636	0.622412164	0.186102609	0.01699881	0.056704567	0.214932364	0.489924657	0.236168132	0.450434326	0.169873014	0.027359317	0.203105032	0.296563649	0.848903399	0.944755805	0.539159252	0.365335264	0.315512418	0.308394749	0.467451327	0.116059312	0.7215659	0.086601995	0.214932364	0.26763259	0.848903399	0.944755805	0.539159252
9	43.38083333	-0.6459	70.85	46	0.49376	0.04705136	5.116666667	38.28	0.296467333	0.249572711	0.428431373	0.273673257	0.1872987	0.283973591	0.995410342	0.190152236	0.212092594	0.24846717	0.14667044	0.122359189	0.185100614	0.060908832	0.174224699	0.129324462	0.044323194	0.127290292	0.248048966	0.631923314	1	0.465002289	0.361223754	0.150937186	0.404485683	0.423571556	0.235636146	0.592781289	0.202410068	0.122359189	0.138460151	0.631923314	1	0.465002289
10	43.8425	-0.6366	16.89	39	0.27067	0.036346862	5.463333333	32.52	0.154969912	0.314738947	0.396568627	0.585501214	0.120152002	0.243292438	0.34325205	0.778385883	0.217232459	0.109835078	0.065587968	0.141054458	0.268891925	0.089848469	0.220344417	0.089183342	0.018250601	0.169421719	0.247204258	0.734127605	0.96797438	0.252914265	0.245523615	0.187474346	0.349251697	0.390886146	0.18172222	0.560818966	0.130885168	0.141054458	0.157592104	0.734127605	0.96797438	0.252914265
23	33.3739	-0.293	39.33333333	7	0.303343333	0.089176785	7.933333333	36.06	0.416776811	0.406693709	0.264705882	0.750953867	0.069603979	0.153503963	0.167295493	0.69548113	0.176627632	0.161530921	0.033381352	0.173764029	0.288634923	0.368286018	0.409691888	0.087039494	0.040509809	0.132842407	0.158780946	0.736326772	0.634107286	0.82895265	0.289159812	0.283400898	0.222649145	0.406524341	0.111553971	0.431388312	0.123846635	0.173764029	0.212255069	0.736326772	0.634107286	0.82895265
28	19.87365187	-1.0564	68	10	0.12872	0.028776899	7.33	50.62	0.359055985	0.560738669	0.267156863	0.829344433	0.078087479	0.176191692	0.206038895	0.898800756	0.090401207	0.025389908	0.054800981	0.134222103	0.58718581	0.311165456	0.546026657	0.011135639	0.018909971	0.076145131	0.088321339	0.7782593	0.4683747	0.466715347	0.208864441	0.333800247	0.194363713	0.352265254	0.127139586	0.552419826	0.056864032	0.134222103	0.234127143	0.7782593	0.4683747	0.466715347
29	19.93988	-1.1003	55	20	0.178833333	0.048313857	7.89	54.94	0.612105093	0.526093788	0.159803922	0.46201873	0.072378942	0.194480843	0.032088684	0.76611483	0.127555322	0.058322809	0.156617105	0.10438205	0.517753323	0.500965077	0.566016735	0.024632647	0.017615434	0.127497586	0.104866187	0.657301716	0.646116894	0.815922982	0.229781006	0.363334501	0.267398446	0.392005171	0.133429893	0.399101757	0.114165078	0.10438205	0.265620999	0.657301716	0.646116894	0.815922982
30	19.939216	-1.0657	55.5	4	0.101533333	0.011636081	5.706666667	21.62	0.254357404	0.172166946	0.049019608	0	0.058517052	0.066185559	0.303702724	0.84839379	0	0.004960128	0.051696935	0.045815087	0.312100899	0.083320919	0.038034476	0.039939453	0.014901147	0.114041818	0.20370999	0.349272904	0.803042434	0.569277312	0.199975684	0.095854276	0.244860495	0.31748035	0.062351305	0.576048257	0.018885688	0.045815087	0.115149814	0.349272904	0.803042434	0.569277312
34	40.161436	-0.2478	98.9	3	0.381946667	0.07057394	7.603333333	53.96	0.240481947	0.45054707	0.26372549	0.632674298	0.166683608	0.256377228	0.37874736	0.800781514	0.996522394	0.130305244	0.061352061	0.442784297	0.593312635	0.486733833	0.681099524	0.212465154	0.071534665	0.2866114	0.093159674	0.248622759	0.698158527	0.963414584	0.298107605	0.640090537	0.295642856	0.487093952	0.211530418	0.589764437	0.3960599	0.442784297	0.346416698	0.248622759	0.698158527	0.963414584
